day,interval,detid,flow,occ,error,city,speed
2017-09-21,21900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,525.0,11.9205426356589,,groningen,44.0416192489026
2017-09-21,22200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,588.0,13.9547661594864,,groningen,42.13614139283
2017-09-21,22500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,300.0,6.87638741604807,,groningen,43.627559334406
2017-09-21,22800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,444.0,10.2089024518573,,groningen,43.4914528857334
2017-09-21,23100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,360.0,7.57798183424313,,groningen,47.5060521223796
2017-09-21,23400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,375.0,8.54498158845985,,groningen,43.885407606547
2017-09-21,23700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,432.0,9.47526244540369,,groningen,45.5924046947699
2017-09-21,24000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,528.0,12.0652173913043,,groningen,43.7621621621622
2017-09-21,24300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,396.0,8.53392676219424,,groningen,46.4030230203406
2017-09-21,24600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,528.0,12.9308384597858,,groningen,40.8326189861586
2017-09-21,24900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,324.0,6.70717205499814,,groningen,48.3064989750125
2017-09-21,25200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,360.0,7.78791563046882,,groningen,46.2254622522572
2017-09-21,25500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,312.0,6.94044010887674,,groningen,44.9539215245091
2017-09-21,25800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,288.0,6.05546583850932,,groningen,47.5603376652683
2017-09-21,26100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,216.0,4.89417337468773,,groningen,44.1341128447011
2017-09-21,26400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,396.0,8.61479229989868,,groningen,45.9674460177824
2017-09-21,26700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,288.0,6.23287290343957,,groningen,46.2066216432986
2017-09-21,27000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,252.0,5.53836299878939,,groningen,45.5008095451822
